Trait group	Trait name	ID	Family	Genotype predictive performance	Covariates predictive performance	Full predictive performance	Delta	Number of variants	P	Significant
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC10002644	Light smokers, at least 100 smokes in lifetime	binomial	0.52	0.57	0.58	0.0	11	3.93e-06	True
Lifestyle and environment	/RIVAS_HG19/snpnet/INI874	Duration of walks	gaussian	0.0	0.0	0.0	0.0	1323	4.26e-06	True
Disease outcome	/RIVAS_HG19/snpnet/HC654	TTE other disorders of pancreatic internal secretion	binomial	0.56	0.62	0.63	0.02	69	4.29e-06	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC30002267	Use of sun/uv protection (Most of the time)	binomial	0.51	0.56	0.56	0.0	110	4.68e-06	True
Disease outcome	/RIVAS_HG19/snpnet/HC1209	TTE reactive arthropathies	binomial	0.66	0.6	0.68	0.08	6	4.79e-06	True
Disease outcome	/RIVAS_HG19/snpnet/HC84	Pulmonary fibrosis	binomial	0.58	0.75	0.76	0.01	51	4.96e-06	True
Eye measures	/RIVAS_HG19/snpnet/INI5255	Intra-ocular pressure, Goldmann-correlated (R)	gaussian	0.04	0.01	0.05	0.04	3584	6.33e-06	True
Health and medical history	/RIVAS_HG19/snpnet/BIN_FC2006179	Glucosamine	binomial	0.51	0.62	0.62	0.0	324	7.34e-06	True
cancer	/RIVAS_HG19/snpnet/cancer1065	Thyroid cancer	binomial	0.62	0.6	0.64	0.03	11	1.24e-05	True
Others	/RIVAS_HG19/snpnet/INI1003064	PEF pred. ratio	gaussian	0.06	0.04	0.1	0.06	15135	1.28e-05	True
Others	/RIVAS_HG19/snpnet/INI1003063	FEV FVC ratio	gaussian	0.06	0.04	0.1	0.06	15141	1.28e-05	True
Blood assays	/RIVAS_HG19/snpnet/INI30740	Glucose	gaussian	0.01	0.01	0.03	0.01	2223	1.46e-05	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC10001150	Usual side of head for mobile phone use (L)	binomial	0.51	0.54	0.54	0.0	599	1.57e-05	True
Disease outcome	/RIVAS_HG19/snpnet/HC1126	TTE cholecystitis	binomial	0.54	0.58	0.59	0.01	5	1.64e-05	True
Disease outcome	/RIVAS_HG19/snpnet/HC1020	TTE unspecified acute lower respiratory infection	binomial	0.52	0.58	0.58	0.0	402	1.72e-05	True
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25867	Vol. of grey matter in Parietal Operculum Cortex (R)	gaussian	0.01	0.15	0.15	0.01	699	1.79e-05	True
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25003	Vol. of ventricular cerebrospinal fluid (normalised for head size)	gaussian	0.02	0.24	0.26	0.02	880	1.82e-05	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC40001448	Bread type: Other type of bread	binomial	0.52	0.56	0.57	0.01	71	2.13e-05	True
Disease outcome	/RIVAS_HG19/snpnet/HC711	TTE vascular dementia	binomial	0.61	0.82	0.83	0.01	7	2.14e-05	True
cancer	/RIVAS_HG19/snpnet/cancer1041	Cervical cancer	binomial	0.55	0.76	0.77	0.01	24	2.36e-05	True
Disease outcome	/RIVAS_HG19/snpnet/HC878	TTE retinal detachments and breaks	binomial	0.54	0.62	0.62	0.0	237	2.45e-05	True
Disease outcome	/RIVAS_HG19/snpnet/HC951	TTE nonrheumatic aortic valve disorders	binomial	0.55	0.72	0.72	0.0	36	2.48e-05	True
Health and medical history	/RIVAS_HG19/snpnet/INI2217	Age started wearing glasses or contact lenses	gaussian	0.02	0.03	0.06	0.02	8870	2.76e-05	False
Disease outcome	/RIVAS_HG19/snpnet/HC1034	TTE emphysema	binomial	0.56	0.7	0.7	0.0	42	2.78e-05	False
Disease outcome	/RIVAS_HG19/snpnet/HC1162	TTE lichen planus	binomial	0.56	0.61	0.61	0.01	3	2.81e-05	False
Arterial stiffness	/RIVAS_HG19/snpnet/INI4194	Pulse rate	gaussian	0.03	0.01	0.05	0.03	4117	2.84e-05	False
Health and medical history	/RIVAS_HG19/snpnet/INI2976	Age diabetes diagnosed	gaussian	0.04	0.26	0.28	0.02	26	2.98e-05	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25905	Vol. of grey matter in Crus II Cerebellum (R)	gaussian	0.04	0.11	0.15	0.04	2510	3.30e-05	False
Eye measures	/RIVAS_HG19/snpnet/INI5263	Intra-ocular pressure, Goldmann-correlated (L)	gaussian	0.04	0.01	0.05	0.04	3513	3.36e-05	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25004	Vol. of ventricular cerebrospinal fluid	gaussian	0.01	0.27	0.29	0.02	772	3.58e-05	False
Blood assays	/RIVAS_HG19/snpnet/INI30220	Basophill %	gaussian	0.02	0.0	0.02	0.01	3205	4.46e-05	False
Disease outcome	/RIVAS_HG19/snpnet/HC197	Clotting disorder/excessive bleeding	binomial	0.59	0.52	0.59	0.08	121	5.24e-05	False
Lifestyle and environment	/RIVAS_HG19/snpnet/INI3456	# of cigarettes currently smoked daily (current cigarette smokers)	gaussian	0.01	0.04	0.04	0.0	9	5.66e-05	False
Disease outcome	/RIVAS_HG19/snpnet/HC1096	TTE umbilical hernia	binomial	0.54	0.64	0.65	0.01	57	6.27e-05	False
cancer	/RIVAS_HG19/snpnet/cancer1035	Bladder cancer	binomial	0.55	0.76	0.76	0.0	5	6.42e-05	False
Blood assays	/RIVAS_HG19/snpnet/INI23005	ZEBRA antigen for Epstein-Barr Virus	gaussian	0.04	0.02	0.06	0.04	158	6.82e-05	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25913	Vol. of grey matter in Vermis VIIIb Cerebellum	gaussian	0.04	0.06	0.1	0.04	1916	9.09e-05	False
Eye measures	/RIVAS_HG19/snpnet/INI5254	Intra-ocular pressure, corneal-compensated (R)	gaussian	0.02	0.02	0.04	0.02	1563	1.02e-04	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25906	Vol. of grey matter in VIIb Cerebellum (L)	gaussian	0.02	0.1	0.12	0.02	649	1.06e-04	False
Health and medical history	/RIVAS_HG19/snpnet/INI3786	Age asthma diagnosed	gaussian	0.03	0.13	0.16	0.03	922	1.10e-04	False
Eye measures	/RIVAS_HG19/snpnet/INI5158	6mm asymmetry index (R)	gaussian	0.0	0.0	0.0	0.0	328	1.10e-04	False
Disease outcome	/RIVAS_HG19/snpnet/HC1585	AD vascular dementia	binomial	0.61	0.82	0.83	0.01	23	1.11e-04	False
Health and medical history	/RIVAS_HG19/snpnet/BIN_FC12006155	Vitamin B9 vs multivitamin	binomial	0.52	0.54	0.54	0.01	27	1.21e-04	False
Blood assays	/RIVAS_HG19/snpnet/INI30680	Calcium	gaussian	0.07	0.01	0.08	0.07	9089	1.21e-04	False
Disease outcome	/RIVAS_HG19/snpnet/HC620	TTE other anaemias	binomial	0.52	0.59	0.59	0.0	13	1.33e-04	False
Disease outcome	/RIVAS_HG19/snpnet/HC259	Aortic stenosis	binomial	0.55	0.75	0.75	0.0	13	1.51e-04	False
Disease outcome	/RIVAS_HG19/snpnet/HC434	Macular degeneration	binomial	0.6	0.65	0.67	0.02	6	1.59e-04	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25910	Vol. of grey matter in Vermis VIIIa Cerebellum	gaussian	0.03	0.08	0.12	0.03	776	1.64e-04	False
Work environment	/RIVAS_HG19/snpnet/BIN22133	Doctor diagnosed sarcoidosis	binomial	0.63	0.56	0.64	0.08	23	1.66e-04	False
Health and medical history	/RIVAS_HG19/snpnet/BIN_FC10006179	Zinc supplements	binomial	0.52	0.58	0.58	0.0	480	1.92e-04	False
Disease outcome	/RIVAS_HG19/snpnet/HC1334	TTE benign mammary dysplasia	binomial	0.52	0.76	0.76	0.0	138	1.96e-04	False
Family history	/RIVAS_HG19/snpnet/FH1001	Lung cancer (FH)	binomial	0.51	0.58	0.58	0.0	312	2.06e-04	False
T2-weighted brain MRI	/RIVAS_HG19/snpnet/INI25781	Total vol. of white matter hyperintensities (from T1 and T2 FLAIR images)	gaussian	0.0	0.12	0.13	0.0	355	2.09e-04	False
Urine assays	/RIVAS_HG19/snpnet/INI30530	Sodium in urine	gaussian	0.0	0.07	0.07	0.0	4	2.29e-04	False
Family history	/RIVAS_HG19/snpnet/BIN_FC10001797	Father still alive	binomial	0.51	0.84	0.84	0.0	4	2.36e-04	False
Eye measures	/RIVAS_HG19/snpnet/INI5133	6mm strong meridian (R)	gaussian	0.17	0.05	0.22	0.17	9219	2.53e-04	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25025	Vol. of brain stem + 4th ventricle	gaussian	0.03	0.21	0.24	0.03	1183	2.67e-04	False
Disease outcome	/RIVAS_HG19/snpnet/HC900	TTE otitis externa	binomial	0.52	0.55	0.55	0.0	65	2.70e-04	False
Disease outcome	/RIVAS_HG19/snpnet/HC285	Other joint disorder	binomial	0.51	0.55	0.55	0.0	1	2.83e-04	False
Disease outcome	/RIVAS_HG19/snpnet/HC1575	AD STEMI	binomial	0.54	0.74	0.75	0.0	58	2.89e-04	False
Blood assays	/RIVAS_HG19/snpnet/INI23022	HTLV-1 gag antigen for Human T-Lymphotropic Virus 1	gaussian	0.02	0.02	0.04	0.02	66	2.99e-04	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25796	Vol. of grey matter in Temporal Pole (L)	gaussian	0.01	0.2	0.2	0.01	1200	3.64e-04	False
Eye measures	/RIVAS_HG19/snpnet/INI5098	6mm weak meridian (R)	gaussian	0.17	0.05	0.22	0.17	8730	3.94e-04	False
Mental health	/RIVAS_HG19/snpnet/INI20453	Ever taken cannabis	gaussian	0.0	0.07	0.07	0.0	819	4.14e-04	False
Disease outcome	/RIVAS_HG19/snpnet/HC28	Bronchiectasis	binomial	0.54	0.67	0.67	0.0	62	4.54e-04	False
Medical conditions	/RIVAS_HG19/snpnet/INI87	Non-cancer illness year/age first occurred	gaussian	0.0	0.01	0.01	0.0	273	4.55e-04	False
Disease outcome	/RIVAS_HG19/snpnet/HC419	Otosclerosis	binomial	0.62	0.55	0.62	0.07	141	4.67e-04	False
Disease outcome	/RIVAS_HG19/snpnet/HC357	Duodenal ulcer	binomial	0.54	0.66	0.66	0.0	17	5.13e-04	False
Disease outcome	/RIVAS_HG19/snpnet/HC103	Thyroid goitre	binomial	0.59	0.68	0.7	0.03	24	5.18e-04	False
Work environment	/RIVAS_HG19/snpnet/INI22146	Age hayfever or allergic rhinitis diagnosed by doctor	gaussian	0.01	0.08	0.08	0.01	255	5.22e-04	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25903	Vol. of grey matter in Crus II Cerebellum (L)	gaussian	0.04	0.1	0.13	0.03	1913	5.73e-04	False
Blood assays	/RIVAS_HG19/snpnet/INI23002	GE / gI antigen for Varicella Zoster Virus	gaussian	0.02	0.01	0.03	0.01	5	6.33e-04	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25797	Vol. of grey matter in Temporal Pole (R)	gaussian	0.01	0.18	0.19	0.01	1025	6.48e-04	False
Disease outcome	/RIVAS_HG19/snpnet/HC646	TTE thyroiditis	binomial	0.57	0.66	0.69	0.03	195	6.95e-04	False
Disease outcome	/RIVAS_HG19/snpnet/HC1257	TTE other disorders of synovium and tendon	binomial	0.52	0.57	0.57	0.0	40	7.30e-04	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25849	Vol. of grey matter in Parahippocampal Gyrus, anterior division (R)	gaussian	0.01	0.2	0.21	0.01	1250	7.61e-04	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25785	Vol. of grey matter in Insular Cortex (R)	gaussian	0.02	0.18	0.2	0.02	1365	7.69e-04	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25018	Vol. of pallidum (R)	gaussian	0.02	0.12	0.13	0.01	303	8.85e-04	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25010	Vol. of brain, grey+white matter	gaussian	0.04	0.35	0.39	0.03	1871	9.44e-04	False
ECG at rest, 12-lead	/RIVAS_HG19/snpnet/INI22330	PQ interval	gaussian	0.02	0.06	0.08	0.02	391	9.61e-04	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25008	Vol. of white matter	gaussian	0.03	0.34	0.36	0.03	1328	1.13e-03	False
Family history	/RIVAS_HG19/snpnet/FH1286	Severe depression (FH)	binomial	0.51	0.55	0.55	0.0	2	1.14e-03	False
Disease outcome	/RIVAS_HG19/snpnet/HC274	Umbilical hernia	binomial	0.53	0.65	0.66	0.01	30	1.15e-03	False
Eye measures	/RIVAS_HG19/snpnet/INI5257	Corneal resistance factor (R)	gaussian	0.06	0.01	0.07	0.06	3941	1.19e-03	False
Disease outcome	/RIVAS_HG19/snpnet/HC1121	TTE fibrosis and cirrhosis of liver	binomial	0.55	0.59	0.6	0.01	10	1.26e-03	False
Biomarkers	/RIVAS_HG19/snpnet/INI10030750	HbA1c	gaussian	0.11	0.0	0.11	0.11	13615	1.39e-03	False
Disease outcome	/RIVAS_HG19/snpnet/HC352	Systemic lupus erythematosis/sle	binomial	0.58	0.69	0.72	0.03	32	1.43e-03	False
Eye measures	/RIVAS_HG19/snpnet/INI5265	Corneal resistance factor (L)	gaussian	0.05	0.0	0.06	0.05	2390	1.53e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25846	Vol. of grey matter in Frontal Orbital Cortex (L)	gaussian	0.01	0.22	0.24	0.01	826	1.62e-03	False
cancer	/RIVAS_HG19/snpnet/cancer1037	Female genital tract cancer	binomial	0.53	0.75	0.75	0.01	106	1.65e-03	False
Disease outcome	/RIVAS_HG19/snpnet/HC1112	TTE other diseases of intestine	binomial	0.54	0.62	0.62	0.0	90	1.72e-03	False
Eye measures	/RIVAS_HG19/snpnet/INI5107	3mm strong meridian angle (R)	gaussian	0.0	0.0	0.0	0.0	1	1.75e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25866	Vol. of grey matter in Parietal Operculum Cortex (L)	gaussian	0.0	0.14	0.14	0.0	605	1.75e-03	False
Eye measures	/RIVAS_HG19/snpnet/BIN5324	Ever had cataract surgery	binomial	0.53	0.75	0.76	0.01	271	1.84e-03	False
Mental health	/RIVAS_HG19/snpnet/BIN_FC10020487	Never felt hated by family member as a child	binomial	0.53	0.56	0.56	0.0	3	1.98e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25810	Vol. of grey matter in Inferior Temporal Gyrus, posterior division (L)	gaussian	0.01	0.11	0.12	0.0	288	2.09e-03	False
Blood assays	/RIVAS_HG19/snpnet/INI30280	Immature reticulocyte fraction	gaussian	0.09	0.01	0.1	0.09	10871	2.16e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25784	Vol. of grey matter in Insular Cortex (L)	gaussian	0.03	0.18	0.21	0.03	1554	2.17e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25002	Vol. of peripheral cortical grey matter	gaussian	0.03	0.32	0.35	0.03	1920	2.25e-03	False
Disease outcome	/RIVAS_HG19/snpnet/HC380	Fracture ulna	binomial	0.55	0.55	0.56	0.01	26	2.28e-03	False
Health and medical history	/RIVAS_HG19/snpnet/BIN_FC11006179	Iron supplements	binomial	0.52	0.6	0.6	0.0	4	2.29e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25890	Vol. of grey matter in Ventral Striatum (L)	gaussian	0.05	0.18	0.22	0.04	687	2.34e-03	False
Lifestyle and environment	/RIVAS_HG19/snpnet/QT_FC10003476	Difficulty not smoking for 1 day	gaussian	0.01	0.0	0.0	0.0	1	2.36e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25869	Vol. of grey matter in Planum Polare (R)	gaussian	0.01	0.16	0.18	0.01	989	2.57e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25006	Vol. of grey matter	gaussian	0.03	0.34	0.36	0.02	2061	2.58e-03	False
Eye measures	/RIVAS_HG19/snpnet/INI5256	Corneal hysteresis (R)	gaussian	0.04	0.02	0.06	0.04	2500	2.62e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25912	Vol. of grey matter in VIIIb Cerebellum (L)	gaussian	0.02	0.08	0.09	0.02	819	2.66e-03	False
Susceptibility weighted brain MRI	/RIVAS_HG19/snpnet/INI25029	Median T2star in caudate (R)	gaussian	0.08	0.03	0.1	0.08	930	2.76e-03	False
Diffusion brain MRI	/RIVAS_HG19/snpnet/INI25627	WA L3 in tract cingulate gyrus part of cingulum (L)	gaussian	0.01	0.05	0.06	0.01	1611	2.99e-03	False
Cognitive function	/RIVAS_HG19/snpnet/BIN_FC10020171	FI4 : positional arithmetic	binomial	0.52	0.55	0.56	0.0	136	3.00e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25011	Vol. of thalamus (L)	gaussian	0.02	0.27	0.29	0.02	1328	3.06e-03	False
Diffusion brain MRI	/RIVAS_HG19/snpnet/INI25536	WA MD in tract superior longitudinal fasciculus (L)	gaussian	0.03	0.12	0.15	0.03	1809	3.16e-03	False
Disease outcome	/RIVAS_HG19/snpnet/HC62	Tuberculosis (tb)	binomial	0.45	0.7	0.7	-0.0	2	3.22e-03	False
Digestive health	/RIVAS_HG19/snpnet/INI21060	Degree bothered by feeling tired all the time in the last 3 months	gaussian	0.0	0.02	0.02	0.0	1526	3.30e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25808	Vol. of grey matter in Inferior Temporal Gyrus, anterior division (L)	gaussian	0.0	0.1	0.1	-0.0	70	3.57e-03	False
Lifestyle and environment	/RIVAS_HG19/snpnet/QT_FC10003466	Time from waking to first cigarette	gaussian	0.01	0.01	0.01	0.0	86	3.64e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25875	Vol. of grey matter in Supracalcarine Cortex (R)	gaussian	0.01	0.07	0.08	0.01	527	3.68e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25911	Vol. of grey matter in VIIIa Cerebellum (R)	gaussian	0.01	0.09	0.11	0.01	694	4.05e-03	False
Diet by 24-hour recall	/RIVAS_HG19/snpnet/BIN102080	Yogurt/ice-cream consumers	binomial	0.51	0.57	0.58	0.0	142	4.14e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25908	Vol. of grey matter in VIIb Cerebellum (R)	gaussian	0.02	0.1	0.12	0.02	673	4.39e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25883	Vol. of grey matter in Putamen (R)	gaussian	0.04	0.04	0.08	0.04	562	4.44e-03	False
Blood assays	/RIVAS_HG19/snpnet/INI23006	EA-D antigen for Epstein-Barr Virus	gaussian	0.01	0.01	0.02	0.01	146	4.85e-03	False
Disease outcome	/RIVAS_HG19/snpnet/HC205	Endometriosis	binomial	0.52	0.8	0.8	0.0	211	4.87e-03	False
Diffusion brain MRI	/RIVAS_HG19/snpnet/INI25063	Mean FA in corticospinal tract on FA skeleton (L)	gaussian	0.0	0.06	0.05	-0.0	770	4.89e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25907	Vol. of grey matter in Vermis VIIb Cerebellum	gaussian	0.02	0.06	0.08	0.02	718	4.97e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25015	Vol. of putamen (L)	gaussian	0.02	0.24	0.26	0.02	747	4.97e-03	False
Diffusion brain MRI	/RIVAS_HG19/snpnet/INI25381	Mean ICVF in cingulum hippocampus on FA skeleton (L)	gaussian	0.04	0.04	0.08	0.04	1153	5.14e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25864	Vol. of grey matter in Central Opercular Cortex (L)	gaussian	0.01	0.18	0.19	0.01	194	5.32e-03	False
Biomarkers	/RIVAS_HG19/snpnet/INI10030680	Calcium	gaussian	0.07	0.0	0.07	0.07	9918	5.32e-03	False
Disease outcome	/RIVAS_HG19/snpnet/HC1095	TTE femoral hernia	binomial	0.55	0.61	0.62	0.0	12	5.43e-03	False
Lifestyle and environment	/RIVAS_HG19/snpnet/INI1130	Hands-free device/speakerphone use with mobile phone in last 3 month	gaussian	0.0	0.05	0.05	0.0	104	5.55e-03	False
Diffusion brain MRI	/RIVAS_HG19/snpnet/INI25647	WA L3 in tract superior thalamic radiation (R)	gaussian	0.01	0.11	0.11	0.0	1510	5.76e-03	False
Health and medical history	/RIVAS_HG19/snpnet/BIN_FC4006148	Eye problems/disorders Cataract	binomial	0.52	0.73	0.73	0.0	1	5.88e-03	False
Disease outcome	/RIVAS_HG19/snpnet/HC1253	TTE other disorders of muscle	binomial	0.53	0.57	0.58	0.0	1	6.06e-03	False
Disease outcome	/RIVAS_HG19/snpnet/HC1329	TTE redundant prepuce, phimosis and paraphimosis	binomial	0.54	0.78	0.79	0.0	14	6.38e-03	False
Disease outcome	/RIVAS_HG19/snpnet/HC548	TTE mumps	binomial	0.53	0.6	0.6	0.0	22	7.13e-03	False
Eye measures	/RIVAS_HG19/snpnet/INI5262	Intra-ocular pressure, corneal-compensated (L)	gaussian	0.02	0.02	0.04	0.01	1166	7.32e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25902	Vol. of grey matter in Crus I Cerebellum (R)	gaussian	0.04	0.15	0.2	0.04	2371	7.75e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25834	Vol. of grey matter in Subcallosal Cortex (L)	gaussian	0.03	0.16	0.19	0.03	1978	8.13e-03	False
Diffusion brain MRI	/RIVAS_HG19/snpnet/INI25091	Mean FA in cingulum cingulate gyrus on FA skeleton (L)	gaussian	0.01	0.08	0.1	0.01	895	8.30e-03	False
Blood assays	/RIVAS_HG19/snpnet/INI23041	OMP antigen for Helicobacter pylori	gaussian	0.0	0.01	0.0	-0.01	82	8.39e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25815	Vol. of grey matter in Postcentral Gyrus (R)	gaussian	0.0	0.1	0.1	0.0	660	8.62e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25915	Vol. of grey matter in IX Cerebellum (L)	gaussian	0.03	0.04	0.07	0.03	1245	8.67e-03	False
Diffusion brain MRI	/RIVAS_HG19/snpnet/INI25549	WA MO in tract parahippocampal part of cingulum (R)	gaussian	0.0	0.02	0.02	0.0	9	8.68e-03	False
Diffusion brain MRI	/RIVAS_HG19/snpnet/INI25646	WA L3 in tract superior thalamic radiation (L)	gaussian	0.02	0.12	0.13	0.01	855	8.80e-03	False
Diffusion brain MRI	/RIVAS_HG19/snpnet/INI25593	WA L1 in tract superior thalamic radiation (R)	gaussian	0.01	0.2	0.2	0.0	358	8.81e-03	False
Disease outcome	/RIVAS_HG19/snpnet/HC222	Arterial embolism	binomial	0.55	0.73	0.74	0.0	23	8.94e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25872	Vol. of grey matter in Planum Temporale (L)	gaussian	0.01	0.18	0.18	0.01	2019	9.37e-03	False
Disease outcome	/RIVAS_HG19/snpnet/HC966	TTE heart failure	binomial	0.52	0.74	0.74	0.0	150	9.57e-03	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25856	Vol. of grey matter in Temporal Fusiform Cortex, posterior division (L)	gaussian	0.01	0.19	0.2	0.01	1533	9.72e-03	False
Work environment	/RIVAS_HG19/snpnet/BIN22504	Bring up phlegm/sputum/mucus on most days	binomial	0.52	0.6	0.6	0.0	5	9.94e-03	False
Disease outcome	/RIVAS_HG19/snpnet/HC198	Hyperparathyroidism	binomial	0.45	0.66	0.66	-0.0	2	1.01e-02	False
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC40001468	Cereal type: Muesli	binomial	0.51	0.55	0.55	0.0	17	1.04e-02	False
Disease outcome	/RIVAS_HG19/snpnet/HC232	Abnormal smear (cervix)	binomial	0.57	0.78	0.79	0.01	39	1.04e-02	False
Disease outcome	/RIVAS_HG19/snpnet/HC1038	TTE bronchiectasis	binomial	0.53	0.67	0.67	0.0	76	1.04e-02	False
Disease outcome	/RIVAS_HG19/snpnet/HC125	Anaemia	binomial	0.51	0.58	0.58	0.0	13	1.05e-02	False
Mental health	/RIVAS_HG19/snpnet/BIN_FC10020523	Never Physical violence by partner or ex-partner as an adult	binomial	0.49	0.62	0.62	-0.0	1	1.06e-02	False
Blood assays	/RIVAS_HG19/snpnet/INI30630	Apolipoprotein A	gaussian	0.14	0.15	0.3	0.14	16644	1.07e-02	False
Mental health	/RIVAS_HG19/snpnet/BIN20532	Did your sleep change?	binomial	0.49	0.61	0.61	-0.0	1	1.07e-02	False
Eye measures	/RIVAS_HG19/snpnet/INI5097	6mm weak meridian (L)	gaussian	0.16	0.05	0.22	0.17	8580	1.08e-02	False
Disease outcome	/RIVAS_HG19/snpnet/HC812	TTE other demyelinating diseases of central nervous system	binomial	0.55	0.56	0.57	0.01	1	1.09e-02	False
Health and medical history	/RIVAS_HG19/snpnet/BIN_FC8006179	Glucosamine supplements	binomial	0.51	0.65	0.65	0.0	24	1.12e-02	False
Disease outcome	/RIVAS_HG19/snpnet/HC299	Heart failure/pulmonary odema	binomial	0.52	0.74	0.74	0.0	134	1.20e-02	False
Diffusion brain MRI	/RIVAS_HG19/snpnet/INI25531	WA MD in tract middle cerebellar peduncle	gaussian	0.0	0.05	0.05	0.0	1	1.29e-02	False
Eye measures	/RIVAS_HG19/snpnet/INI5104	3mm strong meridian angle (L)	gaussian	0.0	0.0	0.0	0.0	976	1.32e-02	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25791	Vol. of grey matter in Inferior Frontal Gyrus, pars triangularis (R)	gaussian	0.0	0.06	0.06	0.0	697	1.35e-02	False
Eye measures	/RIVAS_HG19/snpnet/INI5264	Corneal hysteresis (L)	gaussian	0.04	0.01	0.05	0.03	2240	1.38e-02	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25882	Vol. of grey matter in Putamen (L)	gaussian	0.04	0.04	0.07	0.04	274	1.40e-02	False
Health and medical history	/RIVAS_HG19/snpnet/BIN3606	Chest pain or discomfort walking normally	binomial	0.52	0.59	0.59	0.0	226	1.40e-02	False
Health and medical history	/RIVAS_HG19/snpnet/BIN_FC15006155	Vitamin C	binomial	0.51	0.52	0.52	-0.0	964	1.43e-02	False
Eye measures	/RIVAS_HG19/snpnet/INI5134	6mm strong meridian (L)	gaussian	0.16	0.06	0.22	0.16	8504	1.49e-02	False
Blood assays	/RIVAS_HG19/snpnet/INI23030	E6 antigen for Human Papillomavirus type-16	gaussian	0.0	0.0	0.0	-0.0	1	1.49e-02	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25827	Vol. of grey matter in Lateral Occipital Cortex, inferior division (R)	gaussian	0.0	0.14	0.14	0.0	1159	1.50e-02	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25874	Vol. of grey matter in Supracalcarine Cortex (L)	gaussian	0.01	0.07	0.07	0.01	446	1.55e-02	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25888	Vol. of grey matter in Amygdala (L)	gaussian	0.01	0.21	0.21	0.0	115	1.56e-02	False
Eye measures	/RIVAS_HG19/snpnet/INI5096	3mm weak meridian (L)	gaussian	0.16	0.05	0.21	0.16	8600	1.60e-02	False
Lifestyle and environment	/RIVAS_HG19/snpnet/INI1319	Dried fruit intake	gaussian	0.0	0.01	0.02	0.0	989	1.61e-02	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25795	Vol. of grey matter in Precentral Gyrus (R)	gaussian	0.01	0.15	0.17	0.01	1370	1.62e-02	False
T1 structural brain MRI	/RIVAS_HG19/snpnet/INI25013	Vol. of caudate (L)	gaussian	0.03	0.12	0.14	0.02	1055	1.64e-02	False
